"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\andra\web-apps\proba\myCRM\README.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 8, 16
"c:\Users\andra\web-apps\proba\myCRM\client\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 32, 69
"c:\Users\andra\web-apps\proba\myCRM\client\package-lock.json", "JSON", 15428, 0, 0, 0, 0, 0, 0, 1, 15429
"c:\Users\andra\web-apps\proba\myCRM\client\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\andra\web-apps\proba\myCRM\client\public\index.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 3, 41
"c:\Users\andra\web-apps\proba\myCRM\client\src\App.css", "CSS", 0, 0, 0, 0, 47, 0, 0, 3, 50
"c:\Users\andra\web-apps\proba\myCRM\client\src\App.js", "JavaScript", 0, 0, 214, 0, 0, 0, 8, 8, 230
"c:\Users\andra\web-apps\proba\myCRM\client\src\App.test.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\andra\web-apps\proba\myCRM\client\src\actions\authActions.js", "JavaScript", 0, 0, 71, 0, 0, 0, 19, 8, 98
"c:\Users\andra\web-apps\proba\myCRM\client\src\actions\profileActions.js", "JavaScript", 0, 0, 185, 0, 0, 0, 13, 16, 214
"c:\Users\andra\web-apps\proba\myCRM\client\src\actions\researchActions.js", "JavaScript", 0, 0, 207, 0, 0, 0, 13, 15, 235
"c:\Users\andra\web-apps\proba\myCRM\client\src\actions\stageActions.js", "JavaScript", 0, 0, 127, 0, 0, 0, 8, 10, 145
"c:\Users\andra\web-apps\proba\myCRM\client\src\actions\taskActions.js", "JavaScript", 0, 0, 65, 0, 0, 0, 11, 7, 83
"c:\Users\andra\web-apps\proba\myCRM\client\src\actions\types.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 23
"c:\Users\andra\web-apps\proba\myCRM\client\src\components\add-research\AddResearch.js", "JavaScript", 0, 0, 184, 0, 0, 0, 3, 19, 206
"c:\Users\andra\web-apps\proba\myCRM\client\src\components\add-stage\StageForm.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 13, 114
"c:\Users\andra\web-apps\proba\myCRM\client\src\components\add-task\AddTask.js", "JavaScript", 0, 0, 157, 0, 0, 0, 1, 19, 177
"c:\Users\andra\web-apps\proba\myCRM\client\src\components\auth\CompanyLogin.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 17, 122
"c:\Users\andra\web-apps\proba\myCRM\client\src\components\auth\CompanyRegister.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 16, 138
"c:\Users\andra\web-apps\proba\myCRM\client\src\components\auth\StudentLogin.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 17, 121
"c:\Users\andra\web-apps\proba\myCRM\client\src\components\auth\StudentRegister.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 16, 142
